family	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
Acetobacteraceae	0.000409030905462	0.000388588676336	0.002010709133687	0.004333477992063	0	0.00576543272928	0.00311313947231	0.00481642907894	0.000238867035874	0	0	0.00125884368926	0.01673426899743	0	0.000281876363194	0.00168423495552	0.000488347048645	0.00438247148243	0.00239024252764	0	0.00381321649861	0.000607308394846	0.001324336189102	0.004311474761243	0.000311538023469	0	0.003820032525031	0.0164113247842	0.000303592989008	0	0.000336228153161	0.00848630692894	0	0.002713464856431	0.00134332359071	0.000292876988178	0	0	0.000663020570394	0	0	0.02467713865215	0.00310808477792	0	0	0.0123506469245	0.000580721596547	0	0.00053686416605	0.001216059425811	0.00122395107142	0.000211367957942	0.00358531991752	0	0	0.01379563548075	0	0.000891765948984	0	0	0.000601892589036	0	0.010243048487	0.000602591679027	0.000719010237338	0.001127834746479	0	0	0	0.000558241885121	0	0.00035928550291	0.001937715443241	0.00150455347768	0.005164237126492	0	0	0.00277414479336	0	0.001648407708299	0.00229833770697	0	0.00584570717473	0.00060544568477	0	0	0.00100002597177	0.00383680201422	0
Acholeplasmataceae	0	0	0.0104695747321	0	0	0.00259942949193	0	0.00232916863668	0	0.00173141546064	0	0	0.00669643098489	0	0	0.00478035442564	0	0.00228109724229	0	0.01448615518954	0	0	0	0	0	0.00568175905238	0	0.00750876512977	0	0	0	0.00151850989408	0.00543196436078	0	0	0	0	0.00934748658219	0.00233399834541	0	0.000878111684281	0.0175663446928	0	0	0.00197005090577	0	0	0	0	0.00219588168771	0	0	0	0	0	0	0	0	0	0.019528694295882	0	0	0	0.00273252165146	0.00170063553132	0	0	0	0	0.008708131841886	0	0.002259878467215	0	0.00793088819597	0.00254705554739	0.0114030953992	0	0.00302788863881	0	0	0.01495379522003	0	0.01456735444192	0	0.000785027292123	0	0	0	0.00142650457629
Acidaminococcaceae	0.059930491126612	0.12334607964728	0.19222055885108	0.0947187631121	0.040898604051886	0.0501306259365	0.064050615885239	3.90948356575108	5.02195250189404	0.0394536158567	0.144012386690542	0.1755208800876	0.106640380233	4.3911685581573	0.03422837923472	4.6779310916231	0.04595499202244	0.24922488565669	0.07560503313285	0.1287194545626	0.28150853649468	0.08295942642183	0.16846312295094	0.07246636916713	0.02456247097277	0.10318097732831	0.06188203046146	0.3239807053135	3.31386348110252	0.03721169619973	0.22663654834965	0.07904230091252	0.0876151978511	4.0143581806046	0.05504719258672	0.067762924640071	0.015941487178193	0.09564002823984	0.146336827944305	0.083073339617594	0.0381113184625	0.40407876503099	0.087924470414497	0.010424010619527	0.0776972305984	0.44470350550269	1.384445656656	5.19604941514928	0.01604146890936	0.176946457887002	0.749336163503755	0.09675861238327	0.03344284566914	0.15574992298679	0.04684733712669	0.13668132820338	0.034917874416379	0.0991746010291	0.89507474812874	0.1462979658289	0.07233728234436	0.0571942323316	0.67148698495499	0.76388524215766	0.14637418845442	0.0525089335269	0.089474812339796	0.08089383558065	0.06099573024944	0.06828190364663	15.120350135872	0.07083284665717	0.75344417897534	0.342677800396	0.09543674240583	2.722938695416	0.16790575376181	0.10977217910799	0.01779855209142	0.08260786020524	0.150696049528235	0.01968835263784	0.154065590293	0.02500717741548	0.071434163841894	0.0977427064408	0.17771928848921	0.62221468280987	1.6129796198814
Acidimicrobiaceae	0	0	0	0	0	0	0.000550491112309	0	0	0	0	0	0	0	0.000458857025827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00135386491933	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000852308100521	0	0	0	0	0	0	0	0	0	0	0.00044240038112	0.00058001223394	0	0	0	0	0	0	0	0	0.000739903029679	0	0	0	0.000812822227867	0	0	0	0	0	0	0	0
Acidithiobacillaceae	0	0	0.000442257628465	0	0	0	0	0.00054352147927	0	0	0	0	0.000560203957473	0	0	0	0	0	0	0	0	0.00086880898598	0	0.0012858410878	0	0	0.000357449288194	0.00260500233843	0	0	0	0	0	0	0.00028648290135	0	0	0	0	0	0	0	0.00059322674761	0	0	0	0.000545157547185	0.000343384225435	0	0	0	0	0	0	0.000583066245731	0	0	0	0	0	0	0	0.000903277516941	0	0	0	0	0	0	0	0	0	0	0.000385040967198	0	0.000465966970302	0.00332091342192	0.000433052268805	0	0	0	0	0	0	0	0	0	0	0.001456209782492
Acidobacteriaceae	0.000403187945072	0	0.000936746327233	0	0	0.000653726405453	0	0	0	0.000558251685018	0.000356136289545	0.000546589741501	0.000404799247304	0	0	0.00034397901094	0.000565476277324	0.000332680417516	0.000274467503569	0.00019157241805	0.001063633788657	0.00276047739318	0.000659236775947	0.000218847126433	0	0.000684874406253	0	0.000455157012113	0	0.000214141424064	0.000171673535208	0.000313864043364	0.000317602781561	0.000702068936287	0.000163433235091	0.00171035484797	0.000131662497359	0.002344931244728	0.00021160289535	0.000408553596499	0.000136103239575	0.004425815715671	0.000461022902011	0	0.000281401598044	0.000755628892658	0.000300849839383	0.000744380724938	0.000131630803293	0.00142207758974	0	0	0	0.000652036230477	0.000652455412881	0	0.000120790902713	0	0.000559897089224	0	0.000242625486221	0.000263466327133	0.00046120712154	0.000156490977837	0	0.00027423784827	0	0.000718319508352	0.000314703711516	0	0	0.000628111317003	0.001073301323769	0.000832057616489	0.000491595456813	0	0.000290122010315	0.000463229513018	0	0.000481772746559	0.001964219885305	0	0.00186799045717	0	0.000601598228484	0	0.000200106904656	0.007813315620147	0
Actinomycetaceae	0.00278443165934	0.00645711681577	0.00951086477515	0.0077418398986	0.00208633592854	0.0064739222135	0.00387440075485	0.00487320657414	0.000882047978579	0.0130744646513	0.00607171259584	0.00397091470689	0.00934041184911	0.009127785277148	0.00599759211814	0.0085984541439	0.00459081795966	0.00703663471845	0.00478554336637	0.00278350534052	0.00677952686488	0.00476994784638	0.00380283747712	0.00230436211861	0.00428206696839	0.0118876689007	0.00320488570845	0.00466843746442	0.005393806970184	0.00247056918712	0.00264081769439	0.0168983647608	0.0134354452005	0.0032556602323	0.0055726959662	0.00572777378677	0.00153042183535	0.0467286745301	0.0081388525658	0.00237447776526	0.00314095191975	0.00136123003835	0.00620534059728	0.000188045685591	0.00408870368166	0.00658747354	0.00806008098644	0.00572532565197	0.00306010685816	0.00182295990722	0.00435213115909	0.00622711049511	0.00169982639478	0.000482304030175	0.0092342878984	0.00342777886269	0.00580656536583	0.000583984758706	0.00610152779921	0.002617072063307	0.005366037799647	0.00229686487048	0.01952321925772	0.00266799051139	0.00352955080382	0.00263658927286	0.00222403534931	0.011710425169328	0.00806960322447	0.00274035471547	0.0173125547858	0.00529245432396	0.00620992240873	0.00962981740247	0.00785705193198	0.00258972549351	0.0602581804297	0.0132373669083	0.001984462769974	0.00380463825951	0.00408622018567	0.00529266123466	0.00870446499349	0.00653856179403	0.006066601129064	0.00840876227553	0.00579434896067	0.00188344851438	0.0248717194975
Aerococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.00160573904542	0	0	0.0075046407026	0	0	0	0.00976182837809	0	0	0	0	0	0.000817458348576	0	0.0108346342671	0	0.000424723178406	0	0	0	0.00537302980273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00515733296116	0.00734592716565	0	0	0	0	0.00505781806258	0	0	0	0	0	0	0	0.0112880436399
Aeromonadaceae	0.000974049802628	0.002095451290823	0.00431032260626	0.001852700024127	0.000312050710472	0.000459479724406	0.000597826763416	0.00153203560704	0.00235451703083	0.000293035637112	0.001147775952819	0.00202918634051	0.000473670265555	0.001368417315328	0.0011787859493	0.000593566273372	0.000991719654801	0.003298165790503	0.008734933743293	0.000338776594039	0.000962339377197	0.00101562588317	0.00026990233406	0.000867566848263	0.00201929026632	0.002552826763075	0.000779978537667	0.003391318067957	0.0019575003684	0	0.0001556659875	0.001126835161836	0	0.000831841245705	0.000187707925781	0.00182991154163	0	0.003225763430603	0.000255868733277	0	0.000297234283404	0.004467330548909	0.001479978638297	0.00499711184349	0.003360974479654	0.002900247387892	0.015816666281156	0.039165040469829	0	0.001230344796992	0.000529691877872	0.00146825630039	0.000562326477237	0.008875708789496	0.00169902147662	0.000769033031648	0.000500710289761	0.001641151693993	0	0.000580296351831	0.0010065688166	0	0.0090578272496	0.000504347875987	0.002842805038103	0.000477137584176	0	0.00060322074871	0.000365084450905	0.001089199803818	0.000175534301627	0.001162884413312	0.008047615323615	0.00121019876859	0.066895725599694	0.001208836269563	0.002761240510939	0.00102491781614	0	0.00146612991739	0.000348018143473	0.000250427324196	0.002739039138565	0.001537196802006	0.000516360105959	0.000198934311408	0.00022431694777	0.02260123715498	0.000873756373421
Ajellomycetaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82823805322e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
